From Date,Unnamed: 0,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,AT,TOT-RF,AQI
2022-05-15,47951.5,26.885833333333334,116.95734042553191,95.55115789473685,4.750947368421053,100.29905263157895,12.07736842105263,10.329354838709678,0.11010752688172043,40.29728260869565,0.9489583333333332,,1.1344791666666667,1.2714583333333334,74.2531914893617,1.607340425531915,249.62946808510637,347.7306,,28.577021276595744,0.0,108.20878472222222
2022-05-16,48047.5,29.34333333333333,150.80934065934065,79.82673684210526,8.444719101123596,87.38989473684211,15.589578947368421,10.291612903225806,0.07271739130434783,40.043186813186814,1.0226315789473686,,1.2236842105263157,1.1792631578947368,75.7705376344086,1.7820430107526881,256.53989247311824,338.3583673469388,999.8975,28.507526881720427,0.0,125.63444525193798
2022-05-17,48143.5,46.510729166666664,166.8377659574468,85.99968421052633,6.2608421052631575,92.258,14.62821052631579,10.10752688172043,0.08924731182795699,40.35847826086957,0.866,,1.198,1.6766315789473685,73.81442105263157,1.6146315789473682,251.7356842105263,358.5464,,28.448947368421052,0.0,143.1440972222222
2022-05-18,48239.5,69.26270833333334,220.22212765957448,87.7363829787234,7.944680851063829,95.68042553191488,14.187765957446809,9.862795698924732,0.11445652173913043,40.289565217391306,0.7832291666666666,,1.2964583333333333,1.1398958333333333,73.08404255319148,1.6912765957446807,255.67787234042555,375.66540000000003,,28.19957446808511,0.0,189.53584935897436
2022-05-19,48335.5,57.85505263157894,206.91670212765956,88.77702127659573,7.067872340425532,95.84659574468085,13.968617021276595,9.906170212765957,0.11645161290322581,40.27,1.0504255319148936,,4.322872340425532,2.5219148936170215,76.17691489361702,1.7188297872340426,255.6813829787234,337.8218367346939,,27.891702127659578,0.0,169.43826388888888
2022-05-20,48431.5,43.722210526315784,188.845,99.99578947368421,4.159368421052632,104.15126315789475,12.927894736842106,11.163440860215054,0.18195652173913046,40.45835164835165,0.9638947368421051,,9.400526315789474,6.190947368421052,74.10659574468086,1.4976595744680852,240.7887234042553,268.465,,28.172659574468085,0.0,126.92256944444443
2022-05-21,48527.5,40.800104166666664,164.4073404255319,101.77778947368421,3.5623157894736845,105.33505263157895,13.325263157894737,11.096236559139786,0.21838709677419355,40.36706521739131,0.7830526315789473,,7.613052631578947,4.418,73.46297872340426,1.4941489361702127,230.16117021276597,332.92,,28.365957446808512,0.0,145.40409722222222
2022-05-22,48623.5,25.898,122.07608695652173,106.26903225806453,2.606590909090909,108.6389247311828,12.653225806451612,11.258681318681319,0.2267032967032967,40.17655555555555,0.6693684210526315,,1.8750526315789473,1.296,76.2547311827957,1.6264516129032258,236.51225806451612,322.7866,,28.599032258064515,0.0,108.83930555555555
2022-05-23,48719.5,19.56642857142857,88.60238095238095,96.8817391304348,2.3867073170731707,98.84108695652174,12.92195652173913,11.505494505494505,0.19175824175824174,40.19736263736264,0.99752688172043,,2.2220430107526883,1.5336559139784947,77.88891304347825,1.6478260869565218,234.99630434782608,269.8059183673469,,28.530108695652174,0.0,78.44791666666667
2022-05-24,48815.5,22.299,105.11876404494382,100.09021276595745,3.0664102564102564,102.38053191489362,9.671808510638298,12.927391304347825,0.13206521739130436,40.893956043956045,1.018421052631579,,5.521473684210526,3.7364210526315786,75.90344086021506,1.5933333333333335,246.56698924731182,328.71714285714285,,28.841182795698924,0.0,95.046875
